TC_ID,Module,Technique,Endpoint,Test Data,Expected Status,Expected Result
TC_ADM_AUTH_BVA_01,Auth,BVA,/api/admin/register,username=abc,200,Valid min username
TC_ADM_AUTH_BVA_02,Auth,BVA,/api/admin/register,username=ab,400,Below min username
TC_ADM_AUTH_BVA_03,Auth,BVA,/api/admin/register,password=123456,200,Valid min password
TC_ADM_AUTH_BVA_04,Auth,BVA,/api/admin/register,password=12345,400,Below min password
TC_ADM_BRND_BVA_01,Brand,BVA,/api/admin/brands,name=A,200,Min brand name
TC_ADM_BRND_BVA_02,Brand,BVA,/api/admin/brands,name='',400,Empty brand name
TC_ADM_CAT_BVA_01,Category,BVA,/api/admin/categories,name=C,200,Min category name
TC_ADM_CAT_BVA_02,Category,BVA,/api/admin/categories,name='',400,Empty category name
TC_ADM_PRD_BVA_01,Product,BVA,/api/admin/products,price=1,200,Min valid price
TC_ADM_PRD_BVA_02,Product,BVA,/api/admin/products,price=0,400,Below min price
TC_ADM_PRD_BVA_03,Product,BVA,/api/admin/products,price=-1,400,Negative price
TC_ADM_PRD_BVA_04,Product,BVA,/api/admin/products,quantity=1,200,Min quantity
TC_ADM_PRD_BVA_05,Product,BVA,/api/admin/products,quantity=0,400,Invalid quantity
TC_ADM_USR_BVA_01,User,BVA,/api/admin/users,email=test@gmail.com,200,Valid email
TC_ADM_USR_BVA_02,User,BVA,/api/admin/users,email=abc,400,Invalid email
TC_ADM_ORD_BVA_01,Order,BVA,/api/orders,quantity=1,200,Min order quantity
TC_ADM_ORD_BVA_02,Order,BVA,/api/orders,quantity=0,400,Invalid order quantity
TC_ADM_DASH_BVA_01,Dashboard,BVA,/api/admin/dashboard,startDate=endDate,200,Same date
TC_ADM_DASH_BVA_02,Dashboard,BVA,/api/admin/dashboard,startDate>endDate,400,Invalid date range
TC_ADM_DASH_BVA_03,Dashboard,BVA,/api/admin/dashboard,valid date range,200,Valid date range
